,Name,Number
112,Anatoly,7997423852
113,Anders,8981382488
114,Andie,9659662872
115,Andonis,8748141515
116,Andre,8495658523
117,Andrea,7954997939
118,Andreas,8583327733
119,Andrej,9346428959
120,Andres,8873329951
121,Andrew,7183578949
122,Andrey,7943358383
123,Andri,7483162687
124,Andros,9727255676
125,Andrus,9197861682
126,Andrzej,9538916325
127,Andy,9451717363
128,Angel,9921798549
129,Angelico,7592597428
130,Angelo,7374777674
131,Angie,8462597688
132,Angus,7387543795
133,Ansel,7951186843
134,Ansell,7815276917
135,Anselm,7427378394
136,Anson,7948958846
137,Anthony,9631198626
138,Antin,9782256455
139,Antoine,7499838214
140,Anton,8729524328
141,Antone,7978559594
142,Antoni,9378844973
143,Antonin,7575922626
144,Antonino,8988797348
145,Antonio,9241898219
146,Antonius,7882733199
147,Antony,8395785417
148,Anurag,7419514494
149,Apollo,9512228212
150,Apostolos,7149444459
151,Aram,9452482342
152,Archibald,9348952244
153,Archibold,8381729941
154,Archie,7479598874
155,Archon,8585919986
156,Archy,7882718984
157,Arel,8919636393
158,Ari,7121396475
159,Arie,7612896194
160,Ariel,7291593682
161,Aristotle,8723421864
162,Arlo,9937345566
163,Armand,9139999942
164,Armando,7841714893
165,Armond,7713228413
166,Armstrong,8647161344
167,Arne,7254136521
168,Arnie,8185269775
169,Arnold,9651668549
170,Arnoldo,8326364856
171,Aron,7851143712
172,Arron,8666352142
173,Art,9173752983
174,Arther,8391184356
175,Arthur,9344342766
176,Artie,9212125622
177,Artur,8973862394
178,Arturo,9997211431
179,Arvie,8243864574
180,Arvin,7693131487
181,Arvind,8546153429
182,Arvy,7432582743
183,Ash,8169521383
184,Ashby,7785834628
185,Ashish,8627833534
186,Ashley,7685232511
187,Ashton,8963152151
188,Aub,7124231911
189,Aube,7699194714
190,Aubert,9636356221
191,Aubrey,8851762498
192,Augie,9784757691
193,August,7465683462
194,Augustin,8124461666
195,Augustine,7116864298
196,Augusto,7161742655
197,Augustus,7728118469
198,Austen,7632665745
199,Austin,9498419619
200,Ave,8194745477
201,Averell,9449711719
202,Averil,9943893892
203,Averill,9187674672
204,Avery,7287658869
205,Avi,7576358119
206,Avraham,7264786357
207,Avram,9392483142
208,Avrom,9362436717
209,Axel,8832816181
210,Aylmer,9499557639
211,Aziz,9251318819
212,Bailey,8245874168
213,Bailie,7245891565
214,Baillie,9655395594
215,Baily,7892895994
216,Baird,7668112929
217,Baldwin,7679577296
218,Bancroft,8946831154
219,Barbabas,9686112184
220,Barclay,9642964874
221,Bard,9573377793
222,Barde,7175414729
223,Barn,9886531964
224,Barnabas,8271553951
225,Barnabe,8142745371
226,Barnaby,8732782459
227,Barnard,8371848886
228,Barnebas,7287418495
229,Barnett,7577419979
230,Barney,7793719476
231,Barnie,7964673634
232,Barny,8823327766
233,Baron,9261737666
234,Barr,8446483263
235,Barret,7377784561
236,Barrett,7116387324
237,Barri,7357387949
238,Barrie,8179832759
239,Barris,8474279196
240,Barron,9835685386
241,Barry,9639758993
242,Bart,8328456219
243,Bartel,8286896753
244,Barth,7587467758
245,Barthel,7477254824
246,Bartholemy,9365143395
247,Bartholomeo,7684164347
248,Bartholomeus,9164221143
249,Bartholomew,8475434919
250,Bartie,9921152424
251,Bartlet,7146377335
252,Bartlett,7176757582
253,Bartolemo,9649264289
254,Bartolomei,8878338278
255,Bartolomeo,9615769657
256,Barton,7413653449
257,Barty,9377562856
258,Bary,9824752286
259,Basil,7217257252
260,Batholomew,8717623989
261,Baxter,9829924618
262,Bay,8264698868
263,Bayard,7624777557
264,Beale,9511643877
265,Bealle,7733353397
266,Bear,7455384417
267,Bearnard,7825142937
268,Beau,7648511862
269,Beaufort,8378417441
270,Beauregard,9794671524
271,Beck,8221586964
272,Bela,9182678984
273,Ben,7379541526
274,Benedict,7588455336
275,Bengt,7761897293
276,Benito,8858656657
277,Benjamen,9523317283
278,Benjamin,8462335949
279,Benji,8916563726
280,Benjie,7299122372
281,Benjy,9492939294
282,Benn,7764827893
283,Bennet,8821953862
284,Bennett,9662532756
285,Bennie,8271817239
286,Benny,7122895996
287,Benson,9385434175
288,Bentley,8392157974
289,Benton,7554511184
290,Beowulf,8682966789
291,Berchtold,8746365522
292,Berk,7695622651
293,Berke,8346568535
294,Berkeley,9596697176
295,Berkie,7586721681
296,Berkley,8734419597
297,Bernard,8429459951
298,Bernardo,9714525598
299,Bernd,9587291981
300,Bernhard,8817117756
301,Bernie,8857356897
302,Bert,7299811559
303,Bertie,8696562949
304,Bertram,8228383729
305,Bertrand,8597972768
306,Bharat,9768861471
307,Biff,7773221318
308,Bill,8323788111
309,Billie,8657872979
310,Billy,9996882526
311,Bing,7794169819
312,Binky,7286348615
313,Bishop,7944196836
314,Bjorn,9319547592
315,Bjorne,9497632635
316,Blaine,8567345824
317,Blair,7379552647
318,Blake,7672477259
319,Blare,8613225119
320,Blayne,9569636242
321,Bo,7121817672
322,Bob,9319887814
323,Bobbie,8439745479
324,Bobby,9387961589
325,Bogart,9319253721
326,Bogdan,9722233371
327,Boniface,9572931941
328,Boris,8886767467
329,Boyce,9362537683
330,Boyd,7615926952
331,Brad,9357731816
332,Braden,9881866643
333,Bradford,8688932169
334,Bradley,8615212551
335,Bradly,8183566756
336,Brady,7624968847
337,Brandon,9758343653
338,Brandy,9272669364
339,Brant,7826357815
340,Brendan,7711983644
341,Brent,7437438341
342,Bret,9151955769
343,Brett,9115595471
344,Brewer,9824193688
345,Brewster,7894816255
346,Brian,9247681574
347,Brice,8495473731
348,Briggs,7492646498
349,Brinkley,9832518448
350,Britt,8597234641
351,Brock,8167636731
352,Broddie,7133157346
353,Broddy,9353259637
354,Broderic,7691967675
355,Broderick,7318128147
356,Brodie,8662238752
357,Brody,7584385492
358,Bronson,8939176286
359,Brook,9113244215
360,Brooke,9383611691
361,Brooks,9928814747
362,Bruce,7954279529
363,Bruno,8475824829
364,Bryan,7281736323
365,Bryant,8828367996
366,Bryce,7343277645
367,Bryn,9639916477
368,Bryon,9631787639
369,Bubba,8736382165
370,Buck,9782166747
371,Bucky,9856654619
372,Bud,9432188255
373,Buddy,7582983117
374,Burgess,9927123972
375,Burke,8378859884
376,Burl,8767892933
377,Burnaby,9136579295
378,Burt,8739851979
379,Burton,8837599847
380,Buster,8731165451
381,Butch,9411337739
382,Butler,7861342111
383,Byram,7933551477
384,Byron,9432484281
385,Caesar,8445462384
386,Cain,8872926944
387,Cal,8764297489
388,Caldwell,8725748898
389,Caleb,9357826251
390,Calhoun,7877856919
391,Calvin,7189791443
392,Cam,7823782774
393,Cameron,7918912297
394,Cammy,8686922929
395,Carey,8954626489
396,Carl,8836833892
397,Carleigh,8859564892
398,Carlie,9179585742
399,Carlin,8239124922
400,Carlo,9236352391
401,Carlos,9651985112
402,Carlton,8241489912
403,Carlyle,8852928328
404,Carmine,7315816344
405,Carroll,9217727322
406,Carson,7615736399
407,Carsten,7666491799
408,Carter,9458546835
409,Cary,7653979776
410,Caryl,7972499992
411,Case,8363688634
412,Casey,7473314541
413,Caspar,7966659914
414,Casper,7113685471
415,Cass,7462634655
416,Cat,8735438361
417,Cecil,8795455857
418,Cesar,8259874831
419,Chad,7935536471
420,Chadd,8127838281
421,Chaddie,7771753341
422,Chaddy,9496519863
423,Chadwick,9468858784
424,Chaim,9227545824
425,Chalmers,9685697222
426,Chan,8751832192
427,Chance,8621264886
428,Chancey,7571861175
429,Chanderjit,7959843498
430,Chandler,7257984766
431,Chane,9798621631
432,Chariot,8579336874
433,Charles,8698817694
434,Charleton,9742682494
435,Charley,7299881515
436,Charlie,9324441535
437,Charlton,7547756752
438,Chas,8813971648
439,Chase,9548587374
440,Chaunce,8951885718
441,Chauncey,8843168956
442,Che,9585421128
443,Chelton,7912262476
444,Chen,8197265739
445,Chester,7751386414
446,Cheston,9445617848
447,Chet,7133335399
448,Chev,7424171389
449,Chevalier,8642412116
450,Chevy,9768893191
451,Chip,7696498652
452,Chris,9217956779
453,Chrissy,9754733684
454,Christ,9726549435
455,Christian,8668852884
456,Christiano,9636174731
457,Christie,9466191225
458,Christof,8946422244
459,Christofer,7671512774
460,Christoph,8625993646
461,Christophe,8436541197
462,Christopher,9493125811
463,Christorpher,7562125684
464,Christos,8844515751
465,Christy,8387944441
466,Chrisy,7362522331
467,Chuck,7759269559
468,Churchill,7516578388
469,Clair,9675694514
470,Claire,7888825234
471,Clancy,8344467713
472,Clarance,7271735316
473,Clare,7372612593
474,Clarence,8969846718
475,Clark,8915937939
476,Clarke,9977463957
477,Claude,8199777243
478,Claudio,8579838232
479,Claudius,9331238174
480,Claus,8984796942
481,Clay,7982573523
482,Clayborn,7678169678
483,Clayborne,7595276715
484,Claybourne,9397529173
485,Clayton,9256113484
486,Cleland,9273116381
487,Clem,8933986344
488,Clemens,9894425754
489,Clement,8188481839
490,Clemente,8386856731
491,Clemmie,9659812111
492,Cletus,7573348295
493,Cleveland,8449663426
494,Cliff,7364972598
495,Clifford,7492672143
496,Clifton,7837323641
497,Clint,7563272128
498,Clinten,8292498336
499,Clinton,9187417852
500,Clive,9769975511
501,Clyde,7341842462
502,Cob,8785497574
503,Cobb,7411968776
504,Cobbie,9939199477
505,Cobby,7518222445
506,Cody,9784819438
507,Colbert,7498314872
508,Cole,8694725785
509,Coleman,9792146336
510,Colin,7332815126
511,Collin,9311755838
512,Collins,9379721987
513,Conan,7716668184
514,Connie,7623386979
515,Connolly,8389291595
516,Connor,9162415464
517,Conrad,8533918242
518,Conroy,8288933513
519,Constantin,9566913553
520,Constantine,9791262957
521,Constantinos,8721518811
522,Conway,8379351849
523,Cooper,9982213959
524,Corbin,8235359363
525,Corby,9576436925
526,Corey,9678631725
527,Corky,8373966175
528,Cornelius,8464828783
529,Cornellis,9492512197
530,Corrie,9947456669
531,Cortese,9919737166
532,Corwin,8439199581
533,Cory,7223382351
534,Cosmo,8219661872
535,Costa,8147528997
536,Courtney,9757451736
537,Craig,8687935894
538,Crawford,9133537743
539,Creighton,7553367852
540,Cris,9881565566
541,Cristopher,9681945838
542,Curt,9386368611
543,Curtice,7779372136
544,Curtis,8931582749
545,Cy,9599444576
546,Cyril,8795448396
547,Cyrill,8742697422
548,Cyrille,7458984791
549,Cyrillus,8616596928
550,Cyrus,8544885733
551,Dabney,7321676869
552,Daffy,8754452622
553,Dale,7527676936
554,Dallas,9995222737
555,Dalton,7924751891
556,Damian,9279527147
557,Damien,7141952216
558,Damon,8568663426
559,Dan,7919882449
560,Dana,8136181154
561,Dane,9987638365
562,Dani,7353742318
563,Danie,9627791299
564,Daniel,7711424836
565,Dannie,8397696811
566,Danny,9863916155
567,Dante,8471615239
568,Darby,8348654188
569,Darcy,9258867618
570,Daren,7174584759
571,Darian,9377219797
572,Darien,9799496187
573,Darin,8967538851
574,Dario,7336536873
575,Darius,9682977696
576,Darrel,8389751811
577,Darrell,8996298144
578,Darren,8472266375
579,Darrick,9519944113
580,Darrin,8919471477
581,Darryl,8471445559
582,Darth,7412937361
583,Darwin,9784876136
584,Daryl,9944389297
585,Daryle,9783764881
586,Dave,8569198539
587,Davey,8231445651
588,David,7795657438
589,Davidde,7396999946
590,Davide,7494311375
591,Davidson,8344296179
592,Davie,9615738787
593,Davin,8638879989
594,Davis,9622455257
595,Davon,9781123243
596,Davoud,9774967141
597,Davy,7167267756
598,Dawson,9376732637
599,Dean,8244893435
600,Deane,8983649387
601,Del,7164496766
602,Delbert,9665798252
603,Dell,7328119596
604,Delmar,7197253274
605,Demetre,9267579351
606,Demetri,7586563238
607,Demetris,9158323321
608,Demetrius,9631552523
609,Demosthenis,9328765436
610,Denis,7187258244
611,Dennie,7133261486
612,Dennis,9595776773
613,Denny,7864362598
614,Derby,8938872341
615,Derek,7385995883
616,Derick,8432264826
617,Derk,8383147692
618,Derrek,8656411819
619,Derrick,9486819932
620,Derrin,8994723654
621,Derrol,7486378858
622,Derron,8641298781
623,Deryl,7672919492
624,Desmond,8279527527
625,Desmund,9374314955
626,Devin,9559286618
627,Devon,9967741337
628,Dewey,7275153847
629,Dewitt,9735283186
630,Dexter,7195553239
631,Dick,9164479538
632,Dickey,9725161881
633,Dickie,9716444962
634,Diego,7285615641
635,Dieter,7972558595
636,Dietrich,9517384958
637,Dillon,9121565188
638,Dimitri,9959535662
639,Dimitrios,9888597382
640,Dimitris,9712469291
641,Dimitrou,9162587979
642,Dimitry,8968921631
643,Dino,7867974894
644,Dion,9354534323
645,Dionis,7633468211
646,Dionysus,7185277361
647,Dirk,8238512574
648,Dmitri,9782528573
649,Dom,9911865383
650,Domenic,9343483964
651,Domenico,9918664181
652,Dominic,9787563672
653,Dominick,8411687468
654,Dominique,9712387111
655,Don,7461716187
656,Donal,8952513883
657,Donald,8356598657
658,Donn,7497935679
659,Donnie,9278222446
660,Donny,9515965199
661,Donovan,9719357568
662,Dorian,7237438119
663,Dory,8998869359
664,Doug,9744425493
665,Douggie,7175713575
666,Dougie,7215839163
667,Douglas,9356198814
668,Douglass,7955199682
669,Douglis,7256395436
670,Dov,7875781917
671,Doyle,9395452982
672,Drake,7873163132
673,Drew,7543188233
674,Dru,7158246969
675,Dryke,7449193455
676,Duane,8257126513
677,Dudley,9387322512
678,Duffie,7325769451
679,Duffy,9313145973
680,Dugan,8523146913
681,Duke,7362476736
682,Dunc,8815478177
683,Duncan,8445336913
684,Dunstan,8612552359
685,Durand,9419131214
686,Durant,7546345599
687,Durante,8718755513
688,Durward,8795517593
689,Dustin,8214249131
690,Dwain,7494746534
691,Dwaine,8433595644
692,Dwane,7434422288
693,Dwayne,7887186218
694,Dwight,7992145529
695,Dylan,8528968455
696,Dyson,8958281846
697,Earl,7578289567
698,Earle,8366563264
699,Easton,9987783251
700,Eben,8532666573
701,Ebeneser,8553887551
702,Ebenezer,8598449616
703,Eberhard,8496195138
704,Ed,8582354763
705,Eddie,8281593519
706,Eddy,9598646412
707,Edgar,9981266134
708,Edgardo,8757893246
709,Edie,8261334817
710,Edmond,9534653968
711,Edmund,8317724526
712,Edouard,8831715671
713,Edsel,7634445784
714,Eduard,8236537857
715,Eduardo,7127974627
716,Edward,8121381953
717,Edwin,7592581826
718,Efram,9681583689
719,Egbert,8861357923
720,Ehud,7134983312
721,Elbert,8195538633
722,Elden,9362251877
723,Eldon,8171817925
724,Eli,9549478687
725,Elias,7523514723
726,Elihu,7987364135
727,Elijah,8858546462
728,Eliot,8249437526
729,Eliott,7589526524
730,Elisha,9999379698
731,Elliot,7767413924
732,Elliott,9977797931
733,Ellis,7596671161
734,Ellsworth,7654818182
735,Ellwood,9861686772
736,Elmer,8953595967
737,Elmore,7569892435
738,Elnar,8113163989
739,Elric,9145262638
740,Elroy,7938197783
741,Elton,8429732622
742,Elvin,8124912333
743,Elvis,7556138972
744,Elwin,8959194494
745,Elwood,7378372162
746,Elwyn,9246415158
747,Ely,9326777158
748,Emanuel,8942536271
749,Emerson,9543475282
750,Emery,8152358469
751,Emil,7199724869
752,Emile,9881254227
753,Emilio,8397137956
754,Emmanuel,8648535672
755,Emmery,8227399863
756,Emmet,8268127245
757,Emmett,7714817743
758,Emmit,7995223769
759,Emmott,9872423431
760,Emmy,8365241597
761,Emory,7653573578
762,Ender,9882429457
763,Engelbart,7678131438
764,Engelbert,7347741963
765,Englebart,8759897118
766,Englebert,7691765771
767,Enoch,8648911164
768,Enrico,7597555886
769,Enrique,7267445752
770,Ephraim,9439122195
771,Ephram,8579915621
772,Ephrayim,7647314244
773,Ephrem,9686166723
774,Er,9441983653
775,Erasmus,7952254222
776,Erastus,9445928647
777,Erek,7585359234
778,Erhard,7772286775
779,Erhart,8469185955
780,Eric,9795718798
781,Erich,8643148256
782,Erick,7983174552
783,Erik,8371516222
784,Erin,8734372228
785,Erl,7488218337
786,Ernest,7696144487
787,Ernesto,8583727419
788,Ernie,9916457118
789,Ernst,9328737486
790,Erny,9283112452
791,Errol,8492279193
792,Ervin,9637545988
793,Erwin,9949973514
794,Esau,8344771757
795,Esme,8892459799
796,Esteban,8143927557
797,Ethan,9871927769
798,Ethelbert,9131497676
799,Ethelred,8878328838
800,Etienne,8964655725
801,Euclid,8884737146
802,Eugen,9599391911
803,Eugene,8822275339
804,Eustace,8747899227
805,Ev,9983331175
806,Evan,8978229814
807,Evelyn,7152624359
808,Everard,7399349822
809,Everett,9638532757
810,Ewan,7785894352
811,Ewart,9123519828
812,Ez,9718776588
813,Ezechiel,7823951125
814,Ezekiel,9872639179
815,Ezra,8354687863
816,Fabian,9944555592
817,Fabio,8144686394
818,Fairfax,9115764929
819,Farley,8583824823
820,Fazeel,9131539572
821,Federico,7852617491
822,Felice,7194759783
823,Felicio,7639882248
824,Felipe,7739581768
825,Felix,8533542187
826,Ferd,7865644265
827,Ferdie,9811182316
828,Ferdinand,7227617762
829,Ferdy,9387422589
830,Fergus,7671438227
831,Ferguson,8867387887
832,Ferinand,8234643166
833,Fernando,9353854884
834,Fidel,8369646682
835,Filbert,9398867585
836,Filip,8757511735
837,Filipe,8533235885
838,Filmore,8699732932
839,Finley,9958968447
840,Finn,8754367579
841,Fitz,8942621961
842,Fitzgerald,8846846467
843,Flem,8218242291
844,Fleming,8744632478
845,Flemming,7872833953
846,Fletch,9996673379
847,Fletcher,8181527397
848,Flin,7477538664
849,Flinn,9596794221
850,Flint,9528221815
851,Flipper,9747589539
852,Florian,9539574683
853,Floyd,8493453548
854,Flynn,9488271791
855,Fons,8878346565
856,Fonsie,8635289981
857,Fonz,8747411781
858,Fonzie,7771562278
859,Forbes,7468883367
860,Ford,7996278971
861,Forest,9799211675
862,Forester,9479354174
863,Forrest,7667424916
864,Forrester,9843518976
865,Forster,9916444713
866,Foster,8894523131
867,Fowler,8572485693
868,Fox,8336742965
869,Fran,8427359785
870,Francesco,9326646915
871,Francis,7534314798
872,Francisco,9397569953
873,Francois,7751753237
874,Frank,7252442846
875,Frankie,9666453418
876,Franklin,8475412894
877,Franklyn,7177715968
878,Franky,8553889817
879,Frans,8799576744
880,Franz,8768548833
881,Fraser,7552293445
882,Frazier,7249916145
883,Fred,7227689997
884,Freddie,7898188281
885,Freddy,8653131624
886,Frederic,7438233657
887,Frederich,8357218548
888,Frederick,7625931118
889,Frederico,8271735554
890,Frederik,8197283791
891,Fredric,8166114378
892,Fredrick,9194369366
893,Freeman,7722353721
894,Freemon,8592622262
895,Fremont,8886826177
896,French,9458515519
897,Friedric,7739691363
898,Friedrich,9727166438
899,Friedrick,8326669737
900,Fritz,8689251636
901,Fulton,7466671959
902,Fyodor,7681432146
903,Gabe,8156895277
904,Gabriel,9571919854
905,Gabriele,7691239643
906,Gabriell,7766493536
907,Gabriello,8333755698
908,Gail,8656452499
909,Gale,8699863467
910,Galen,8498156954
911,Gallagher,8545968626
912,Gamaliel,8153713661
913,Garcia,9126932737
914,Garcon,8364991553
915,Gardener,7848856668
916,Gardiner,8698562915
917,Gardner,9134371399
918,Garey,7998338713
919,Garfield,7363716935
920,Garfinkel,7867376461
921,Garold,8454335459
922,Garp,9646524665
923,Garret,7615653112
924,Garrett,8477186834
925,Garrot,9896578287
926,Garrott,7613964482
927,Garry,7116887878
928,Garth,9534822936
929,Garv,8933368328
930,Garvey,7376748528
931,Garvin,7667969683
932,Garvy,9174677586
933,Garwin,7854572832
934,Garwood,9358847736
935,Gary,8196813831
936,Gaspar,7917517351
937,Gasper,8718713287
938,Gaston,7816532886
939,Gav,8696783669
940,Gaven,8479422266
941,Gavin,8452764866
942,Gavriel,8298685355
943,Gay,9241934156
944,Gayle,9478752744
945,Gearard,8155692698
946,Gene,9586395165
947,Geo,8315914181
948,Geof,7723324263
949,Geoff,8977396673
950,Geoffrey,8138226637
951,Geoffry,8146791479
952,Georg,8869351515
953,George,7586192522
954,Georges,7759916826
955,Georgia,8629528955
956,Georgie,9979289642
957,Georgy,8323893578
958,Gerald,8486219849
959,Geraldo,7883896155
960,Gerard,8522774514
961,Gere,9761683798
962,Gerhard,9367992495
963,Gerhardt,8787756969
964,Geri,9762294582
965,Germaine,9936615168
966,Gerold,7659684138
967,Gerome,8722464229
968,Gerrard,8626656792
969,Gerri,8684646947
970,Gerrit,8724792662
971,Gerry,9853732662
972,Gershom,7845966216
973,Gershon,8625753684
974,Giacomo,8727549914
975,Gian,9748523732
976,Giancarlo,8929134812
977,Giavani,7129367481
978,Gibb,9721596215
979,Gideon,8923868883
980,Giff,7237824491
981,Giffard,8555856443
982,Giffer,8651192181
983,Giffie,7942545719
984,Gifford,7728827528
985,Giffy,7529144991
986,Gil,9771567346
987,Gilbert,8843296191
988,Gilberto,9259776248
989,Gilburt,7122715391
990,Giles,8364275547
991,Gill,9828681112
992,Gilles,8968397138
993,Ginger,9687444453
994,Gino,9432687433
995,Giordano,7762456499
996,Giorgi,9534894736
997,Giorgio,7227553478
998,Giovanne,9621885858
999,Giovanni,9239166563
1000,Giraldo,9923378293
1001,Giraud,9936643774
1002,Giuseppe,7623572866
1003,Glen,9535617138
1004,Glenn,9594321177
1005,Glynn,8638418854
1006,Godard,8722861146
1007,Godart,7221174555
1008,Goddard,8847342645
1009,Goddart,9976891879
1010,Godfree,9231578121
1011,Godfrey,9219797713
1012,Godfry,9379158527
1013,Godwin,7256843229
1014,Gomer,7767127173
1015,Gonzales,8776256451
1016,Gonzalo,7347871766
1017,Goober,7711121559
1018,Goose,8163456882
1019,Gordan,9885232496
1020,Gordie,9279763318
1021,Gordon,8884228834
1022,Grace,7565612734
1023,Grady,7419458287
1024,Graehme,8415458574
1025,Graeme,7147879122
1026,Graham,8119114316
1027,Graig,8928562294
1028,Grant,9693214869
1029,Granville,7966542859
1030,Greg,8245738324
1031,Gregg,9172196342
1032,Greggory,9461655826
1033,Gregor,8156731978
1034,Gregorio,9859964633
1035,Gregory,8821741938
1036,Gretchen,9119262224
1037,Griff,7672686464
1038,Griffin,9912357463
1039,Griffith,9217219826
1040,Griswold,8911333815
1041,Grove,9144851213
1042,Grover,9954646425
1043,Guido,8783999643
1044,Guillaume,8228341239
1045,Guillermo,8322799231
1046,Gunner,8358462759
1047,Gunter,8697149992
1048,Gunther,8487338196
1049,Gus,8452341538
1050,Gustaf,9168692336
1051,Gustav,9729839676
1052,Gustave,8388945916
1053,Gustavo,7441887853
1054,Gustavus,7246364994
1055,Guthrey,8723927587
1056,Guthrie,9769649811
1057,Guthry,9248329913
1058,Guy,7633478648
1059,Hadleigh,7233536956
1060,Hadley,9645657153
1061,Hadrian,9748981922
1062,Hagan,7345541638
1063,Hagen,9266558591
1064,Hailey,7957542461
1065,Hakeem,9688337471
1066,Hakim,7819747183
1067,Hal,7752981586
1068,Hale,8679842841
1069,Haleigh,7935537647
1070,Haley,8235769426
1071,Hall,7953444262
1072,Hallam,8346425635
1073,Halvard,8526216546
1074,Ham,8497633576
1075,Hamel,9748187548
1076,Hamid,7376635535
1077,Hamil,7666942867
1078,Hamilton,7619868914
1079,Hamish,8488714414
1080,Hamlen,9654138487
1081,Hamlet,9163516339
1082,Hamlin,9971417191
1083,Hammad,8955889864
1084,Hamnet,8651379364
1085,Han,9123459868
1086,Hanan,7979163773
1087,Hanford,9691582679
1088,Hank,8459826135
1089,Hannibal,7539874569
1090,Hans,7378954589
1091,Hans-Peter,8987328725
1092,Hansel,8942416271
1093,Hanson,8251746482
1094,Harald,8138125378
1095,Harcourt,8288415463
1096,Hari,9358423214
1097,Harlan,8495355179
1098,Harland,8776497248
1099,Harley,7292656232
1100,Harlin,9943132637
1101,Harman,8181741697
1102,Harmon,9381555481
1103,Harold,7177492469
1104,Harris,7131797445
1105,Harrison,8274342811
1106,Harrold,7173845759
1107,Harry,8683711233
1108,Hart,9673791658
1109,Hartley,9276955678
1110,Hartwell,9286539589
1111,Harv,8351573625
1112,Harvard,9153618255
1113,Harvey,7241112692
1114,Harvie,7525357949
1115,Harwell,9314183674
1116,Hasheem,9982123512
1117,Hashim,8356546135
1118,Haskel,9357663257
1119,Haskell,7946871665
1120,Hassan,7345658425
1121,Hastings,8562628896
1122,Hasty,8497195879
1123,Haven,8996763763
1124,Hayden,9195875619
1125,Haydon,9665591737
1126,Hayes,9211664819
1127,Hayward,8252237216
1128,Haywood,7629424962
1129,Hazel,7371586982
1130,Heath,9324243142
1131,Heathcliff,9663811847
1132,Hebert,7617531114
1133,Hector,9547375324
1134,Heinrich,7231668775
1135,Heinz,9386128945
1136,Helmuth,8742175939
1137,Henderson,9251437496
1138,Hendrick,8884491392
1139,Hendrik,8794455979
1140,Henri,9737435454
1141,Henrie,8119899127
1142,Henrik,7464745388
1143,Henrique,7895742763
1144,Henry,9616787695
1145,Herb,9364985635
1146,Herbert,8475665464
1147,Herbie,9962624584
1148,Herby,8819847388
1149,Hercule,7717644835
1150,Hercules,7416682295
1151,Herculie,9975832832
1152,Herman,7192726748
1153,Hermann,7773323924
1154,Hermon,9886877725
1155,Hermy,8399497493
1156,Hernando,7823638133
1157,Herold,9179257373
1158,Herrick,7416761152
1159,Herrmann,7627772974
1160,Hersch,7729415635
1161,Herschel,9942156946
1162,Hersh,8589591596
1163,Hershel,7847726255
1164,Herve,8453176154
